Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
6864|2017-02-28 00:00:00|Общество с ограниченной ответственностью «АПИ-Сервис»|1095260000208|1095260000208|5260244544|№ 78 от 28.02.2017||наб. Нижне-Волжская, д. 9а, г. Нижний Новгород, Нижегородская обл., 603001
6865|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Софтмоушнс»|1065473080177|1065473080177|5408246698|№ 78 от 28.02.2017||пр-д Цветной, д. 25, кв. 25, г. Новосибирск, Новосибирская обл., 630090
6866|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Информационные Технологии»|1107608001214|1107608001214|7622015742|№ 78 от 28.02.2017||ул. 50 лет Комсомола, д. 4, кв. 47, г. Переславль-Залесский, Ярославская обл., 152025
6867|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Энстрим|1097453004527|1097453004527|7453207581|№ 78 от 28.02.2017||ул. Пермская, д. 57, кв. 9, г. Челябинск, Челябинская обл., 454006
6868|2017-02-28 00:00:00|Общество с ограниченной ответственностью «КИВИ Блокчейн Технологии»|5167746497606|5167746497606|7724396053|№ 78 от 28.02.2017||ш. Каширское, д. 70, корп. 3, г. Москва, 115409
6869|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Программная Логистика»|1107746032350|1107746032350|7720676282|№ 78 от 28.02.2017||ул. Староалексеевская, д. 5, офис 465, г. Москва, 129626
6870|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Программные решения»|1115836002765|1115836002765|5836646445|№ 78 от 28.02.2017||ул. Центральная, д. 1В, г. Пенза, Пензенская обл., 440068
6871|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Перспектива»|1165476209403|1165476209403|5407960596|№ 78 от 28.02.2017||ул. Коммунистическая, д. 2, офис 310, г. Новосибирск, Новосибирская обл., 630099
6872|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Смарт консалтинг»|1175476003361|1175476003361|5406628652|№ 78 от 28.02.2017||ул. Коммунистическая, д. 40, офис 1002, г. Новосибирск, Новосибирская обл., 630007
6873|2017-02-28 00:00:00|Общество с ограниченной ответственностью «ЭРЛАН-РАЗРАБОТКА»|1177746068114|1177746068114|7714970110|№ 78 от 28.02.2017||пр-т Ленинградский, д. 68, стр. 16, г. Москва, 125315
6874|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Ризон»|1137325006796|1137325006796|7325124756|№ 78 от 28.02.2017||ул. Спасская, д. 5, офис 83, г. Ульяновская, Ульяновская обл., 432000
6875|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Компания «Каскад»|1135190013331|1135190013331|5190027286|№ 78 от 28.02.2017||пр-д Михаила Бабикова, д. 12, кв. 59, г. Мурманск, Мурманская обл., 183053
6876|2017-02-28 00:00:00|Общество с ограниченной ответственностью «АГР Софтвер»|1157847386025|1157847386025|7810392038|№ 78 от 28.02.2017||пр-т Ленинский, д. 153, лит. А, офис 501, г. Санкт-Петербург, 196247
6877|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Вега»|1161832083742|1161832083742|1840068133|№ 78 от 28.02.2017||ул. Коммунаров, д. 234, офис 101, г. Ижевск, Респ. Удмуртская, 426008
6878|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Скай Сервис»|1166196110739|1166196110739|6165204720|№ 78 от 28.02.2017||ул. Текучева, д. 139В, офис 7, г. Ростов-на-Дону, Ростовская обл., 344018
6879|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Лучшие практики»|1167456142501|1167456142501|7447268586|№ 78 от 28.02.2017||ул. Каслинская, д. 77, офис 109, г. Челябинск, Челябинская обл., 454084
6880|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Управление учетом»|1162375059802|1162375059802|2308240760|№ 78 от 28.02.2017||ул. Кожевенная, д. 38, пом. 69, г. Краснодар, Краснодарский край, 350004
6881|2017-02-28 00:00:00|Общество с ограниченной ответственностью «АУРРУМ»|1177847003157|1177847003157|7801326215|№ 78 от 28.02.2017||наб. реки Смоленки, д. 5-7, лит. А, пом. 233-2, г. Санкт-Петербург, 199178
6882|2017-02-28 00:00:00|Общество с ограниченной ответственностью «МемберСофтвейр»|1176451000527|1176451000527|6455067828|№ 78 от 28.02.2017||ул. им. Пугачева Е.И., д. 54/62, пом. 5, г. Саратов, Саратовская обл., 410056
6883|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Студия Интерактив»|1167746191766|1167746191766|7725307641|№ 78 от 28.02.2017||ул. Шаболовка, д. 34, этаж 4, пом. I, комн. 14, г. Москва, 115419
6884|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Надёжные системы»|1117325001860|1117325001860|7325103280|№ 78 от 28.02.2017||ул. Орджоникидзе, д. 4, кв. 55, г. Ульяновск, Ульяновская обл., 432030
6885|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Сумус Лаб»|1151690000582|1151690000582|1655317628|№ 78 от 28.02.2017|07.12.2020 полное наименование изменено с «Общество с ограниченной ответственностью «Центр возврата денег» на «Общество с ограниченной ответственностью «Сумус Лаб», (Савинова О.О.)|ул. Мартына Межлаука, д. 22, офис 310, г. Казань, Респ. Татарстан, 420000
6886|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Новый космос»|1145476007984|1145476007984|5406771250|№ 78 от 28.02.2017||ул. Фрунзе, д. 88, офис 1209, г. Новосибирск, Новосибирская обл., 630005
6887|2017-02-28 00:00:00|Общество с ограниченной ответственностью «БИТ»|1097603003080|1097603003080|7603044459|№ 78 от 28.02.2017||ул. Сахарова, д. 7, корп. 2, кв. 21, г. Ярославль, Ярославская обл., 150065
6888|2017-02-28 00:00:00|Общество с ограниченной ответственностью «ИТ Плюс»|1165024053952|1165024053952|5024165177|№ 78 от 28.02.2017||дорога Балтия, территория 26 км Бизнес-Центр Рига-Ленд, стр. 3, Красногорский р-н, Московская обл., 143421
6889|2017-02-28 00:00:00|Общество с ограниченной ответственностью «Скрипта»|1061001075410|1061001075410|1001185123|№ 78 от 28.02.2017||пер. Фуражный, д. 3, лит. К, пом. 33Н, г. Санкт-Петербург, 191015
